BASE_PRECINCT,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
11,Patrick Murphy (DEM),DEM,23.61,59.46,Patrick Murphy (DEM) won with 59.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Beach Elementary School,2049,Majority Hispanic,Other,40.5,22.4,34.3,4.9,50.7,10.1,Miami Beach
13,Patrick Murphy (DEM),DEM,24.76,60.68,Patrick Murphy (DEM) won with 60.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Shore Branch Library,2493,Majority Hispanic,Other,38.9,21.2,26.8,5.3,59.5,8.4,Miami Beach
14,Patrick Murphy (DEM),DEM,30.26,63.24,Patrick Murphy (DEM) won with 63.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Shore Park Youth Center,2799,Majority Hispanic,Other,37.9,20.3,28.9,4.3,58.1,8.7,Miami Beach
15,Patrick Murphy (DEM),DEM,21.25,59.21,Patrick Murphy (DEM) won with 59.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Normandy Shores Golf Club,954,Other,Other,38.1,21.2,49.5,2.4,38.3,9.9,Miami Beach
16,Patrick Murphy (DEM),DEM,27.31,62.48,Patrick Murphy (DEM) won with 62.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Pelican Harbor Marina,1781,Other,Other,37.5,20.7,37.7,6.3,45.4,10.6,N Bay Village
17,Patrick Murphy (DEM),DEM,36.09,66.76,Patrick Murphy (DEM) won with 66.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Treasure Island Elementary School,2720,Majority Hispanic,Other,40.3,21.2,29.8,6.2,53.5,10.6,N Bay Village
18,Patrick Murphy (DEM),DEM,39.36,67.86,Patrick Murphy (DEM) won with 67.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Indian Creek Fire Station #4,2608,Majority Hispanic,Other,43,17.9,27.6,4.6,57.9,9.8,Miami Beach
19,Patrick Murphy (DEM),DEM,25.04,61.17,Patrick Murphy (DEM) won with 61.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Normandy Park & Pool,928,Majority Hispanic,Other,40.5,24.4,37.1,3.6,51.4,8,Miami Beach
20,Patrick Murphy (DEM),DEM,13.18,55.25,Patrick Murphy (DEM) won with 55.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ronald W. Shane Center,2151,Other,Other,36.4,25.6,43.1,2.9,44.5,9.5,Miami Beach
23,Patrick Murphy (DEM),DEM,0.22,48.99,Patrick Murphy (DEM) won with 49% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Fire Station #3,3493,Other,Other,30.7,30.2,46.1,2.3,43.3,8.3,Miami Beach
24,Patrick Murphy (DEM),DEM,18.79,58.67,Patrick Murphy (DEM) won with 58.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Nautilus Middle School,1681,Majority White,Other,41.3,24.9,68.6,1.9,22.1,7.4,Miami Beach
25,Marco Rubio (REP),REP,12.49,55.11,Marco Rubio (REP) won with 55.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Johns on the Lake Methodist Church,1794,Majority White,Other,26.6,34.1,53.7,1.1,36.3,8.9,Miami Beach
28,Marco Rubio (REP),REP,5.49,51.77,Marco Rubio (REP) won with 51.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Temple Beth Sholom,1704,Majority White,Other,35.5,30.6,68,1.2,19.1,11.8,Miami Beach
29,Marco Rubio (REP),REP,4.93,51.82,Marco Rubio (REP) won with 51.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Beach Elementary School,1719,Majority White,Other,34.4,30.1,64.1,1.7,22.2,12,Miami Beach
30,Patrick Murphy (DEM),DEM,35.49,66.68,Patrick Murphy (DEM) won with 66.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Botanical Garden,3255,Majority White,Other,45.7,19.2,68.2,1.4,20.4,10,Miami Beach
31,Patrick Murphy (DEM),DEM,25.79,61.76,Patrick Murphy (DEM) won with 61.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami City Ballet,1299,Majority White,Other,42.2,22.4,62.7,2.8,20.6,13.9,Miami Beach
32,Patrick Murphy (DEM),DEM,1.91,49.84,Patrick Murphy (DEM) won with 49.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Regional Library,2675,Other,Other,30.9,27.9,39.7,2.1,47.8,10.5,Miami Beach
33,Patrick Murphy (DEM),DEM,37.93,67.39,Patrick Murphy (DEM) won with 67.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Senior High School,1928,Other,Other,44.6,16.7,45.6,3.4,38.4,12.7,Miami Beach
36,Patrick Murphy (DEM),DEM,42.57,69.61,Patrick Murphy (DEM) won with 69.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Police Athletic League,3174,Other,Other,44.7,16.5,49.4,4.2,34.4,12,Miami Beach
37,Patrick Murphy (DEM),DEM,29.37,63.14,Patrick Murphy (DEM) won with 63.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach City Hall,1197,Majority White,Other,36.7,18.3,60.3,6.5,21.4,11.8,Miami Beach
38,Marco Rubio (REP),REP,2.05,50.44,Marco Rubio (REP) won with 50.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,South Shore Community Center,405,Majority White,Other,31.9,28.9,60.2,1.7,26.4,11.6,Miami Beach
40,Patrick Murphy (DEM),DEM,32.29,64.58,Patrick Murphy (DEM) won with 64.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,South Pointe Elementary School,1997,Other,Other,39,19.6,45.8,4.1,38.4,11.7,Miami Beach
41,Patrick Murphy (DEM),DEM,40.76,69.12,Patrick Murphy (DEM) won with 69.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,South Shore Community Center,3824,Other,Other,42.5,18.2,43.9,5.3,39,11.8,Miami Beach
42,Patrick Murphy (DEM),DEM,39.98,68.24,Patrick Murphy (DEM) won with 68.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Fienberg Fisher K-8 Center,2198,Other,Other,41.8,18,44.7,5.4,36.8,13.1,Miami Beach
43,Patrick Murphy (DEM),DEM,32.47,64.64,Patrick Murphy (DEM) won with 64.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Police Department,1079,Other,Other,43.2,18.8,37.5,7.2,44,11.2,Miami Beach
47,Marco Rubio (REP),REP,7.22,53.07,Marco Rubio (REP) won with 53.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,South Pointe Elementary School,430,Majority White,Other,25.6,31.6,78.6,0.7,10.9,9.8,Unincorporated M-D
48,Patrick Murphy (DEM),DEM,4.72,51.46,Patrick Murphy (DEM) won with 51.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,South Pointe Elementary School,3323,Majority White,Other,31,28.6,61.1,2.3,26.4,10.2,Miami Beach
51,Marco Rubio (REP),REP,5.45,51.87,Marco Rubio (REP) won with 51.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Key Biscayne Community Center,8209,Majority Hispanic,Other,26.5,29.6,35.8,0.4,55.5,8.3,Key Biscayne
52,Marco Rubio (REP),REP,100.00,100.00,Marco Rubio (REP) won with 100% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Key Biscayne Community Center,15,Majority Hispanic,Heavily Democrat,60,0,40,0,53.3,6.7,Unincorporated M-D
59,Patrick Murphy (DEM),DEM,66.67,66.67,Patrick Murphy (DEM) won with 66.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,N/A,N/A,0.00,0.00,No votes were cast in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67,Marco Rubio (REP),REP,13.67,55.31,Marco Rubio (REP) won with 55.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunny Isles Beach Government Center,2006,Majority White,Other,21.1,35.6,58,3.3,28.4,10.2,Sunny Isles Beach
68,Patrick Murphy (DEM),DEM,100.00,100.00,Patrick Murphy (DEM) won with 100% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arlen House Condo West,2,Majority White,Other,0,0,100,0,0,0,Unincorporated M-D
69,Patrick Murphy (DEM),DEM,57.48,77.10,Patrick Murphy (DEM) won with 77.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Phyllis R. Miller Elementary School,657,Other,Heavily Democrat,52.5,11.6,28.9,18.7,42.5,9.9,Unincorporated M-D
99,Marco Rubio (REP),REP,14.77,56.62,Marco Rubio (REP) won with 56.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Williams Island Club House,1874,Majority White,Other,30.5,32.7,74.6,2.1,16.6,6.7,Aventura
100,Patrick Murphy (DEM),DEM,44.17,69.94,Patrick Murphy (DEM) won with 69.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,134 BLDG--UOCAVA--FED ONLY,8433,Other,Heavily Democrat,50.3,18.6,40,5.3,29.2,25.6,N/A
101,Patrick Murphy (DEM),DEM,5.60,51.95,Patrick Murphy (DEM) won with 51.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Virginia A. Boone Highland Oaks Elementary School,2488,Majority White,Other,40.1,22.9,57.4,3.9,28.7,10.1,Unincorporated M-D
102,Marco Rubio (REP),REP,4.59,51.41,Marco Rubio (REP) won with 51.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Aventura Community Recreation Center,4322,Majority White,Other,31.5,25.5,57.3,1.8,30.3,10.7,Aventura
103,Patrick Murphy (DEM),DEM,16.94,57.03,Patrick Murphy (DEM) won with 57% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Aventura Government Center,3439,Majority White,Other,35.4,22.3,50.8,3,36.1,10.1,Aventura
104,Patrick Murphy (DEM),DEM,25.00,60.71,Patrick Murphy (DEM) won with 60.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ojus Elementary School,358,Other,Other,40.2,16.2,31,19.6,39.4,10.1,Unincorporated M-D
105,Patrick Murphy (DEM),DEM,14.26,56.33,Patrick Murphy (DEM) won with 56.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Highland Oaks Middle School,1645,Majority White,Other,39.1,19.3,52,3.5,32.9,11.6,Unincorporated M-D
106,Patrick Murphy (DEM),DEM,20.76,59.01,Patrick Murphy (DEM) won with 59% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Greynolds Park Elementary School,1565,Majority Hispanic,Other,38.9,19.9,27.4,7.8,52.8,12,Unincorporated M-D
107,Patrick Murphy (DEM),DEM,25.39,61.21,Patrick Murphy (DEM) won with 61.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Greynolds Park Elementary School,1064,Majority Hispanic,Other,43,18.9,27.6,8.5,51.5,12.4,Unincorporated M-D
108,Patrick Murphy (DEM),DEM,40.17,68.74,Patrick Murphy (DEM) won with 68.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,New Horizons Condominium Association,2515,Majority Hispanic,Other,44.7,17.5,25.5,12.8,53.2,8.5,Unincorporated M-D
109,Patrick Murphy (DEM),DEM,15.38,56.82,Patrick Murphy (DEM) won with 56.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Aventura Government Center,2750,Other,Other,31.5,22.5,46.5,4.4,38.8,10.4,Aventura
110,Patrick Murphy (DEM),DEM,31.73,64.64,Patrick Murphy (DEM) won with 64.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ojus Elementary School,1715,Other,Other,43.1,19.2,44.4,9.7,34.8,11.1,Unincorporated M-D
111,Patrick Murphy (DEM),DEM,21.43,59.56,Patrick Murphy (DEM) won with 59.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Commodore Plaza Tower II,3686,Other,Other,37.1,21.9,49.3,5,35.5,10.2,Aventura
112,Patrick Murphy (DEM),DEM,30.03,64.23,Patrick Murphy (DEM) won with 64.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Plaza Del Prado Condominium,536,Other,Other,39,20.1,45.3,6.3,37.5,10.8,Aventura
113,Patrick Murphy (DEM),DEM,23.83,60.32,Patrick Murphy (DEM) won with 60.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Point East Condominium,1177,Majority Hispanic,Other,43.7,24,36.4,4.2,52.6,6.7,Aventura
114,Marco Rubio (REP),REP,4.64,51.55,Marco Rubio (REP) won with 51.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Northeast Dade Aventura Branch Library,2355,Majority White,Other,31.5,29.3,65.1,2.4,22.5,10,Aventura
115,Patrick Murphy (DEM),DEM,42.13,69.54,Patrick Murphy (DEM) won with 69.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Marjorie/William McDonald Center,3401,Majority Hispanic,Other,47.6,16.3,15.4,18.2,54.9,11.4,N Miami Beach
116,Marco Rubio (REP),REP,13.66,56.31,Marco Rubio (REP) won with 56.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Uleta Community Center,986,Majority White,Other,34.4,29.1,55.2,15.8,13.9,15.1,N Miami Beach
117,Patrick Murphy (DEM),DEM,69.36,83.26,Patrick Murphy (DEM) won with 83.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Uleta Community Center,2564,Majority Black,Heavily Democrat,64.1,8.2,6,62.7,22,9.2,N Miami Beach
118,Patrick Murphy (DEM),DEM,40.11,69.03,Patrick Murphy (DEM) won with 69% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,John F. Kennedy Middle School,1203,Other,Heavily Democrat,51.9,18,26.2,38.7,20.9,14.1,N Miami Beach
119,Patrick Murphy (DEM),DEM,10.59,54.43,Patrick Murphy (DEM) won with 54.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Gertrude K. Edelman/Sabal Palm Elementary School,2198,Other,Other,45.4,25.2,43.8,28.8,14,13.4,Unincorporated M-D
120,Marco Rubio (REP) and Patrick Murphy (DEM),N/A,0.00,49.14,Marco Rubio (REP) and Patrick Murphy (DEM) were tied with 49.1% of votes each in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Miami Beach Senior High School,745,Other,Other,37.6,33,48.9,11.9,30.2,9,Unincorporated M-D
121,Patrick Murphy (DEM),DEM,48.79,72.80,Patrick Murphy (DEM) won with 72.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Fulford United Methodist Church,1302,Other,Other,48.5,14,14.8,32.3,41.2,11.6,N Miami Beach
122,Patrick Murphy (DEM),DEM,77.78,88.89,Patrick Murphy (DEM) won with 88.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Allen Park Community Center,8,Majority Black,Heavily Democrat,62.5,37.5,12.5,62.5,12.5,12.5,N Miami Beach
123,Patrick Murphy (DEM),DEM,47.85,72.38,Patrick Murphy (DEM) won with 72.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Marjorie/William McDonald Center,3901,Other,Heavily Democrat,52.5,13.7,21.1,30.9,37.3,10.6,N Miami Beach
124,Patrick Murphy (DEM),DEM,8.51,52.87,Patrick Murphy (DEM) won with 52.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Eden Isles Condominium,3943,Other,Other,31.5,27.1,43.9,3.3,42.4,10.4,N Miami Beach
125,Patrick Murphy (DEM),DEM,45.35,71.22,Patrick Murphy (DEM) won with 71.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Highland Village Community Center,549,Majority Hispanic,Other,48.1,15.1,22.6,15.7,51.5,10.2,N Miami Beach
126,Patrick Murphy (DEM),DEM,72.50,84.84,Patrick Murphy (DEM) won with 84.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Allen Park Community Center,1923,Majority Black,Heavily Democrat,65.5,7.7,6.5,62.9,20.7,9.9,N Miami Beach
127,Patrick Murphy (DEM),DEM,73.33,85.48,Patrick Murphy (DEM) won with 85.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Washington Park Community Center,3498,Majority Black,Heavily Democrat,67.4,7.3,5,68,17.4,9.7,N Miami Beach
128,Patrick Murphy (DEM),DEM,74.66,86.01,Patrick Murphy (DEM) won with 86% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Oak Grove Park,2484,Majority Black,Heavily Democrat,65.6,7.4,4.9,67.7,17,10.4,Unincorporated M-D
129,Patrick Murphy (DEM),DEM,74.74,86.25,Patrick Murphy (DEM) won with 86.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Miami Beach Church Nazarene,2816,Majority Black,Heavily Democrat,65.8,6.8,5.4,66.5,18.3,9.8,Unincorporated M-D
130,Patrick Murphy (DEM),DEM,68.37,83.12,Patrick Murphy (DEM) won with 83.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,First Baptist Church of Greater Miami,3810,Majority Black,Heavily Democrat,65.5,8.1,9.8,63.8,17,9.5,Unincorporated M-D
131,Patrick Murphy (DEM),DEM,63.10,80.23,Patrick Murphy (DEM) won with 80.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Thomas Jefferson Middle School,2726,Other,Heavily Democrat,61.3,10.7,12.1,49.3,27.8,10.7,Unincorporated M-D
133,Patrick Murphy (DEM),DEM,66.13,81.77,Patrick Murphy (DEM) won with 81.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami-Dade County Fire Station #19,1673,Majority Black,Heavily Democrat,63.2,9.5,4.6,59.4,29.6,6.3,North Miami
134,Patrick Murphy (DEM),DEM,75.80,87.12,Patrick Murphy (DEM) won with 87.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Miami Church of the Nazarene,2140,Majority Black,Heavily Democrat,71.7,6.2,2.5,73.2,17.6,6.7,North Miami
135,Patrick Murphy (DEM),DEM,73.71,85.57,Patrick Murphy (DEM) won with 85.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunkist Grove Community Center,2657,Majority Black,Heavily Democrat,69.1,8.1,1.9,66.2,24.7,7.2,North Miami
136,Patrick Murphy (DEM),DEM,70.89,84.37,Patrick Murphy (DEM) won with 84.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Union Academy,2922,Majority Black,Heavily Democrat,68.4,7.2,5.6,63.2,23.6,7.5,North Miami
137,Patrick Murphy (DEM),DEM,72.27,84.87,Patrick Murphy (DEM) won with 84.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Griffing Senior Citizens Center,398,Majority Black,Heavily Democrat,60.3,10.6,11.1,58.8,20.6,9.5,North Miami
138,Patrick Murphy (DEM),DEM,72.43,84.83,Patrick Murphy (DEM) won with 84.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Miami Elementary School,1965,Majority Black,Heavily Democrat,66.6,6.1,4.6,72.1,14,9.3,North Miami
