LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE
Last updated at 11-14-2022 21:00,A011,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),1535,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1790,REP,3344,0.36,45.9,0.21,53.53,REP,Ron DeSantis (REP),255,7.63,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5671,Majority White,Other,41.4,30.4,26.6,76.6,2.8,11.8
Last updated at 11-14-2022 21:00,A012,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),521,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),507,REP,1033,0.1,50.44,0.39,49.08,DEM,Charlie Crist (DEM),14,1.36,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2169,Majority White,Other,40.8,25.1,32.6,62.0,9.2,19.0
Last updated at 11-14-2022 21:00,A013,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),929,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),808,REP,1751,0.46,53.06,0.34,46.15,DEM,Charlie Crist (DEM),121,6.91,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4059,Other,Other,44.3,19.9,34.0,42.5,22.4,23.0
Last updated at 11-14-2022 21:00,A014,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),983,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1085,REP,2085,0.58,47.15,0.24,52.04,REP,Ron DeSantis (REP),102,4.89,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4378,Majority White,Other,38.9,26.2,32.9,57.2,10.1,22.2
Last updated at 11-14-2022 21:00,A015,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),798,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),922,REP,1731,0.46,46.1,0.17,53.26,REP,Ron DeSantis (REP),124,7.16,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3423,Majority White,Other,38.6,26.6,32.6,61.8,9.5,17.6
Last updated at 11-14-2022 21:00,A016,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),578,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),39,REP,627,1.44,92.19,0.16,6.22,DEM,Charlie Crist (DEM),539,85.96,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1674,Majority Black,Heavily Democrat,79.2,3.6,16.8,3.6,86.6,3.5
Last updated at 11-14-2022 21:00,B001,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),781,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),2231,REP,3020,0.13,25.86,0.13,73.87,REP,Ron DeSantis (REP),1450,48.01,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4448,Majority White,Heavily Republican,20.1,53.2,24.9,87.0,0.9,6.6
Last updated at 11-14-2022 21:00,B002,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),781,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),1790,REP,2583,0.39,30.24,0.08,69.3,REP,Ron DeSantis (REP),1009,39.06,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4012,Majority White,Other,24.0,48.1,25.8,83.6,1.6,8.1
Last updated at 11-14-2022 21:00,C001,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),954,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1555,REP,2516,0.12,37.92,0.16,61.8,REP,Ron DeSantis (REP),601,23.89,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4138,Majority White,Other,29.0,39.9,28.6,82.4,2.2,8.4
Last updated at 11-14-2022 21:00,C002,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),1221,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),2054,REP,3289,0.21,37.12,0.21,62.45,REP,Ron DeSantis (REP),833,25.33,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5687,Majority White,Other,28.7,38.5,29.7,81.3,3.1,8.1
Last updated at 11-14-2022 21:00,C003,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),1231,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1908,REP,3149,0.13,39.09,0.19,60.59,REP,Ron DeSantis (REP),677,21.5,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5294,Majority White,Other,28.1,39.1,30.5,81.2,1.9,8.8
Last updated at 11-14-2022 21:00,C004,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),384,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),701,REP,1086,0.0,35.36,0.09,64.55,REP,Ron DeSantis (REP),317,29.19,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1877,Majority White,Other,29.5,40.6,27.0,79.6,4.5,9.0
Last updated at 11-14-2022 21:00,C005,Carmen Jackie Gimenez (NPA),20,NPA,Charlie Crist (DEM),1146,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1495,REP,2668,0.75,42.95,0.26,56.03,REP,Ron DeSantis (REP),349,13.08,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5147,Majority White,Other,38.7,29.9,29.6,60.7,17.6,13.9
Last updated at 11-14-2022 21:00,C006,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),993,DEM,Hector Roos (LPF),9,LPF,Ron DeSantis (REP),1544,REP,2555,0.35,38.86,0.35,60.43,REP,Ron DeSantis (REP),551,21.57,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4597,Majority White,Other,31.5,36.8,29.6,75.7,5.7,10.7
Last updated at 11-14-2022 21:00,C007,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),387,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),587,REP,976,0.2,39.65,0.0,60.14,REP,Ron DeSantis (REP),200,20.49,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1858,Majority White,Other,35.7,32.9,29.4,68.6,11.1,11.9
Last updated at 11-14-2022 21:00,C008,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1071,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),1015,REP,2104,0.81,50.9,0.05,48.24,DEM,Charlie Crist (DEM),56,2.66,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5255,Other,Other,44.2,21.9,32.0,48.2,21.8,20.6
Last updated at 11-14-2022 21:00,C009,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),683,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),720,REP,1419,0.63,48.13,0.49,50.74,REP,Ron DeSantis (REP),37,2.61,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3947,Other,Other,41.7,23.4,32.9,47.9,18.6,22.7
Last updated at 11-14-2022 21:00,C010,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),667,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),434,REP,1110,0.63,60.09,0.18,39.1,DEM,Charlie Crist (DEM),233,20.99,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2632,Other,Heavily Democrat,55.6,17.5,25.3,37.1,38.6,16.0
Last updated at 11-14-2022 21:00,C011,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),1025,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),129,REP,1167,1.03,87.83,0.09,11.05,DEM,Charlie Crist (DEM),896,76.78,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3323,Majority Black,Heavily Democrat,74.6,4.8,19.6,6.1,79.8,7.3
Last updated at 11-14-2022 21:00,C012,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),170,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),29,REP,204,1.47,83.33,0.98,14.22,DEM,Charlie Crist (DEM),141,69.12,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,879,Majority Black,Heavily Democrat,65.6,9.1,24.1,15.2,61.9,14.9
Last updated at 11-14-2022 21:00,C013,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),320,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),240,REP,563,0.0,56.84,0.53,42.63,DEM,Charlie Crist (DEM),80,14.21,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,807,Majority White,Other,44.9,39.3,14.6,95.9,0.5,1.2
Last updated at 11-14-2022 21:00,C014,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1100,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),72,REP,1189,1.18,92.51,0.25,6.06,DEM,Charlie Crist (DEM),1028,86.46,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2994,Majority Black,Heavily Democrat,81.1,3.3,14.7,2.1,87.3,4.7
Last updated at 11-14-2022 21:00,C015,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),147,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),69,REP,217,0.46,67.74,0.0,31.8,DEM,Charlie Crist (DEM),78,35.94,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1050,Other,Heavily Democrat,57.3,12.7,28.3,24.0,45.5,18.5
Last updated at 11-14-2022 21:00,C016,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),153,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),102,REP,255,0.0,60.0,0.0,40.0,DEM,Charlie Crist (DEM),51,20.0,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,784,Other,Other,43.8,14.3,40.3,36.0,16.3,36.2
Last updated at 11-14-2022 21:00,C017,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),580,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),83,REP,673,1.19,86.18,0.3,12.33,DEM,Charlie Crist (DEM),497,73.85,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2199,Majority Black,Heavily Democrat,73.1,4.7,21.3,3.2,77.2,11.8
Last updated at 11-14-2022 21:00,C018,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),652,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),494,REP,1153,0.17,56.55,0.43,42.84,DEM,Charlie Crist (DEM),158,13.7,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1961,Majority White,Other,44.3,24.4,29.3,68.2,6.6,15.9
Last updated at 11-14-2022 21:00,C019,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),945,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),690,REP,1651,0.48,57.24,0.48,41.79,DEM,Charlie Crist (DEM),255,15.45,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2989,Majority White,Other,43.6,23.1,32.0,65.1,8.2,17.3
Last updated at 11-14-2022 21:00,C020,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),1961,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1421,REP,3402,0.38,57.64,0.21,41.77,DEM,Charlie Crist (DEM),540,15.87,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6022,Majority White,Other,45.6,24.4,28.3,58.6,14.3,18.6
Last updated at 11-14-2022 21:00,C021,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),1165,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),225,REP,1410,0.85,82.62,0.57,15.96,DEM,Charlie Crist (DEM),940,66.67,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4039,Majority Black,Heavily Democrat,70.9,7.0,20.9,11.9,71.2,9.6
Last updated at 11-14-2022 21:00,C022,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),9,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),4,REP,13,0.0,69.23,0.0,30.77,DEM,Charlie Crist (DEM),5,38.46,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,189,Majority Black,Heavily Democrat,55.0,15.9,28.6,28.6,51.9,10.1
Last updated at 11-14-2022 21:00,D001,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),867,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),663,REP,1545,0.52,56.12,0.45,42.91,DEM,Charlie Crist (DEM),204,13.2,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3173,Majority White,Other,45.4,22.3,30.5,54.5,13.0,23.2
Last updated at 11-14-2022 21:00,D002,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),1461,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),860,REP,2325,0.13,62.84,0.04,36.99,DEM,Charlie Crist (DEM),601,25.85,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3777,Majority White,Other,47.8,24.3,26.1,76.8,3.3,12.2
Last updated at 11-14-2022 21:00,D003,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),897,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),389,REP,1302,0.77,68.89,0.46,29.88,DEM,Charlie Crist (DEM),508,39.02,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3217,Other,Heavily Democrat,56.4,13.6,28.2,40.2,30.6,19.8
Last updated at 11-14-2022 21:00,D004,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),1099,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),846,REP,1956,0.36,56.19,0.2,43.25,DEM,Charlie Crist (DEM),253,12.93,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3933,Majority White,Other,44.6,24.4,29.4,58.2,6.8,26.2
Last updated at 11-14-2022 21:00,D005,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),536,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),318,REP,862,0.58,62.18,0.35,36.89,DEM,Charlie Crist (DEM),218,25.29,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1947,Other,Other,49.9,19.2,29.4,48.2,17.6,25.5
Last updated at 11-14-2022 21:00,D006,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),523,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),175,REP,701,0.29,74.61,0.14,24.96,DEM,Charlie Crist (DEM),348,49.64,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1499,Majority White,Heavily Democrat,56.0,14.7,27.8,52.8,19.3,18.7
Last updated at 11-14-2022 21:00,D007,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),1071,DEM,Hector Roos (LPF),9,LPF,Ron DeSantis (REP),599,REP,1682,0.18,63.67,0.54,35.61,DEM,Charlie Crist (DEM),472,28.06,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3133,Majority White,Heavily Democrat,51.7,19.9,26.7,60.2,16.2,14.6
Last updated at 11-14-2022 21:00,D008,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1665,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),427,REP,2111,0.66,78.87,0.24,20.23,DEM,Charlie Crist (DEM),1238,58.65,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4409,Other,Heavily Democrat,61.3,10.8,26.3,36.9,40.3,13.2
Last updated at 11-14-2022 21:00,D009,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),127,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),17,REP,145,0.69,87.59,0.0,11.72,DEM,Charlie Crist (DEM),110,75.86,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,340,Majority Black,Heavily Democrat,73.8,5.6,18.8,9.7,69.7,9.4
Last updated at 11-14-2022 21:00,D010,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),409,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),69,REP,483,0.41,84.68,0.62,14.29,DEM,Charlie Crist (DEM),340,70.39,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1269,Majority Black,Heavily Democrat,68.0,8.0,22.9,13.5,67.0,10.1
Last updated at 11-14-2022 21:00,E001,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),1928,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1806,REP,3753,0.35,51.37,0.16,48.12,DEM,Charlie Crist (DEM),122,3.25,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,7362,Other,Other,42.2,25.5,30.4,49.3,19.1,18.0
Last updated at 11-14-2022 21:00,E002,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1041,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),606,REP,1666,0.84,62.48,0.3,36.37,DEM,Charlie Crist (DEM),435,26.11,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3915,Other,Other,49.2,17.9,31.0,32.1,33.5,19.9
Last updated at 11-14-2022 21:00,E003,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),1407,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),1330,REP,2751,0.47,51.15,0.04,48.35,DEM,Charlie Crist (DEM),77,2.8,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5612,Other,Other,40.9,25.7,32.0,49.3,16.5,21.4
