LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE
Last updated at 11-14-2022 20:55,116,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),377,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),569,REP,955,0.42,39.48,0.52,59.58,REP,Ron DeSantis (REP),192,20.1,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1610,Majority White,Other,30.6,41.1,25.7,77.3,5.7,9.7,7.3
Last updated at 11-14-2022 20:55,117,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),797,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1397,REP,2202,0.18,36.19,0.18,63.44,REP,Ron DeSantis (REP),600,27.25,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3134,Majority White,Other,26.8,47.9,23.6,84.4,1.2,7.3,7.1
Last updated at 11-14-2022 20:55,119,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),999,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1317,REP,2324,0.09,42.99,0.26,56.67,REP,Ron DeSantis (REP),318,13.68,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3085,Majority White,Other,31.2,44.6,22.2,84.7,1.3,6.4,7.6
Last updated at 11-14-2022 20:55,121,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),1127,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),1171,REP,2312,0.26,48.75,0.35,50.65,REP,Ron DeSantis (REP),44,1.9,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3116,Majority White,Other,32.1,41.0,25.1,83.1,1.8,6.4,8.7
Last updated at 11-14-2022 20:55,123,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1158,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1250,REP,2423,0.41,47.79,0.21,51.59,REP,Ron DeSantis (REP),92,3.8,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3343,Majority White,Other,35.4,39.7,23.0,82.9,2.1,7.7,7.4
Last updated at 11-14-2022 20:55,125,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),348,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),561,REP,910,0.11,38.24,0.0,61.65,REP,Ron DeSantis (REP),213,23.41,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1234,Majority White,Other,28.4,47.2,22.3,86.1,0.4,5.9,7.6
Last updated at 11-14-2022 20:55,127,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),914,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),1225,REP,2156,0.65,42.39,0.14,56.82,REP,Ron DeSantis (REP),311,14.42,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3099,Majority White,Other,32.1,41.3,25.3,85.0,1.4,6.3,7.3
Last updated at 11-14-2022 20:55,129,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),860,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),887,REP,1752,0.11,49.09,0.17,50.63,REP,Ron DeSantis (REP),27,1.54,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2504,Majority White,Other,33.5,39.1,25.3,86.3,0.8,6.0,6.9
Last updated at 11-14-2022 20:55,131,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),926,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1153,REP,2088,0.19,44.35,0.24,55.22,REP,Ron DeSantis (REP),227,10.87,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3050,Majority White,Other,30.3,42.6,24.9,87.3,1.1,5.0,6.5
Last updated at 11-14-2022 20:55,133,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),406,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),798,REP,1207,0.08,33.64,0.17,66.11,REP,Ron DeSantis (REP),392,32.48,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1643,Majority White,Heavily Republican,27.0,52.2,19.7,87.8,0.9,4.4,6.9
Last updated at 11-14-2022 20:55,135,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),996,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),1477,REP,2480,0.16,40.16,0.12,59.56,REP,Ron DeSantis (REP),481,19.4,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3531,Majority White,Other,29.5,43.8,24.4,81.2,2.0,8.0,8.8
Last updated at 11-14-2022 20:55,137,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),778,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1054,REP,1840,0.11,42.28,0.33,57.28,REP,Ron DeSantis (REP),276,15.0,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2612,Majority White,Other,32.0,44.0,22.7,84.5,1.3,7.1,7.1
Last updated at 11-14-2022 20:55,139,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),688,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),1256,REP,1949,0.1,35.3,0.15,64.44,REP,Ron DeSantis (REP),568,29.14,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2866,Majority White,Other,27.5,48.3,22.9,80.4,2.5,7.9,9.2
Last updated at 11-14-2022 20:55,141,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),475,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),423,REP,906,0.44,52.43,0.44,46.69,DEM,Charlie Crist (DEM),52,5.74,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1424,Majority White,Other,36.7,35.7,25.2,79.7,4.0,8.7,7.6
Last updated at 11-14-2022 20:55,145,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),427,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),384,REP,822,0.85,51.95,0.49,46.72,DEM,Charlie Crist (DEM),43,5.23,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1515,Majority White,Other,35.6,31.3,31.0,73.7,4.0,15.0,7.3
Last updated at 11-14-2022 20:55,151,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),426,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),392,REP,821,0.12,51.89,0.24,47.75,DEM,Charlie Crist (DEM),34,4.14,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1534,Majority White,Other,33.1,30.4,33.6,78.0,5.7,6.6,9.6
Last updated at 11-14-2022 20:55,153,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),216,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),167,REP,385,0.26,56.1,0.26,43.38,DEM,Charlie Crist (DEM),49,12.73,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,591,Majority White,Other,36.2,29.3,32.7,82.7,2.2,6.3,8.8
Last updated at 11-14-2022 20:55,157,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),270,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),354,REP,631,0.32,42.79,0.79,56.1,REP,Ron DeSantis (REP),84,13.31,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1023,Majority White,Other,29.8,37.0,31.5,80.3,3.5,5.8,10.5
Last updated at 11-14-2022 20:55,159,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),1051,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1339,REP,2400,0.25,43.79,0.17,55.79,REP,Ron DeSantis (REP),288,12.0,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3829,Majority White,Other,27.3,39.7,31.0,79.7,3.1,7.8,9.5
Last updated at 11-14-2022 20:55,160,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),583,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),517,REP,1105,0.27,52.76,0.18,46.79,DEM,Charlie Crist (DEM),66,5.97,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2163,Majority White,Other,33.2,29.7,34.6,75.5,5.5,9.6,9.4
Last updated at 11-14-2022 20:55,161,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),663,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),727,REP,1398,0.21,47.42,0.36,52.0,REP,Ron DeSantis (REP),64,4.58,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2670,Majority White,Other,29.4,33.5,34.8,75.9,5.2,8.5,10.3
Last updated at 11-14-2022 20:55,163,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),276,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),157,REP,439,1.14,62.87,0.23,35.76,DEM,Charlie Crist (DEM),119,27.11,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,868,Majority White,Other,44.1,24.3,29.6,53.7,13.8,24.8,7.7
Last updated at 11-14-2022 20:55,165,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),371,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),316,REP,691,0.58,53.69,0.0,45.73,DEM,Charlie Crist (DEM),55,7.96,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1361,Majority White,Other,35.8,29.0,32.2,69.3,7.2,10.4,13.1
Last updated at 11-14-2022 20:55,169,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),829,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),420,REP,1265,0.71,65.53,0.55,33.2,DEM,Charlie Crist (DEM),409,32.33,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2850,Other,Heavily Democrat,52.3,17.5,28.7,41.6,38.0,11.1,9.3
Last updated at 11-14-2022 20:55,175,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),258,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),203,REP,465,0.22,55.48,0.65,43.66,DEM,Charlie Crist (DEM),55,11.83,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,950,Other,Other,44.9,25.8,27.8,43.7,16.0,29.2,11.2
Last updated at 11-14-2022 20:55,176,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),580,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),555,REP,1144,0.44,50.7,0.35,48.51,DEM,Charlie Crist (DEM),25,2.19,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1977,Majority White,Other,40.7,29.0,28.6,57.3,9.5,22.0,11.3
Last updated at 11-14-2022 20:55,179,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),549,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),509,REP,1068,0.47,51.4,0.47,47.66,DEM,Charlie Crist (DEM),40,3.75,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1832,Majority White,Other,37.6,30.2,30.4,60.2,8.5,19.7,11.6
Last updated at 11-14-2022 20:55,203,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),526,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),360,REP,892,0.22,58.97,0.45,40.36,DEM,Charlie Crist (DEM),166,18.61,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2048,Other,Other,43.0,23.6,31.1,49.8,26.4,12.5,11.3
Last updated at 11-14-2022 20:55,204,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),424,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),189,REP,617,0.16,68.72,0.49,30.63,DEM,Charlie Crist (DEM),235,38.09,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1377,Other,Other,49.4,18.9,29.8,42.2,35.5,12.5,9.8
Last updated at 11-14-2022 20:55,205,Carmen Jackie Gimenez (NPA),18,NPA,Charlie Crist (DEM),849,DEM,Hector Roos (LPF),11,LPF,Ron DeSantis (REP),826,REP,1704,1.06,49.82,0.65,48.47,DEM,Charlie Crist (DEM),23,1.35,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3773,Majority Hispanic,Other,46.2,24.1,28.2,28.2,11.5,50.7,9.5
Last updated at 11-14-2022 20:55,207,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),562,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),174,REP,750,1.2,74.93,0.67,23.2,DEM,Charlie Crist (DEM),388,51.73,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2082,Majority Black,Heavily Democrat,62.2,10.4,26.3,15.6,53.1,22.6,8.6
Last updated at 11-14-2022 20:55,209,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),646,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),247,REP,907,1.43,71.22,0.11,27.23,DEM,Charlie Crist (DEM),399,43.99,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2059,Other,Heavily Democrat,55.8,16.5,26.0,42.0,33.8,15.9,8.3
Last updated at 11-14-2022 20:55,213,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),490,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),160,REP,655,0.76,74.81,0.0,24.43,DEM,Charlie Crist (DEM),330,50.38,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1708,Other,Heavily Democrat,58.6,12.5,27.5,31.3,47.4,12.8,8.5
Last updated at 11-14-2022 20:55,214,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),121,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),32,REP,156,1.28,77.56,0.64,20.51,DEM,Charlie Crist (DEM),89,57.05,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,333,Majority White,Heavily Democrat,52.6,13.5,32.1,54.1,18.6,16.8,10.5
Last updated at 11-14-2022 20:55,215,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),34,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),26,REP,60,0.0,56.67,0.0,43.33,DEM,Charlie Crist (DEM),8,13.33,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,104,Majority White,Heavily Democrat,51.0,20.2,25.0,65.4,15.4,14.4,4.8
Last updated at 11-14-2022 20:55,216,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),7,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),9,REP,16,0.0,43.75,0.0,56.25,REP,Ron DeSantis (REP),2,12.5,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,28,Other,Heavily Democrat,60.7,14.3,21.4,32.1,21.4,35.7,10.7
Last updated at 11-14-2022 20:55,217,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1023,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),702,REP,1739,0.63,58.83,0.17,40.37,DEM,Charlie Crist (DEM),321,18.46,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2740,Majority White,Other,48.1,24.1,26.0,65.9,10.0,16.9,7.2
Last updated at 11-14-2022 20:55,218,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),227,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),175,REP,404,0.25,56.19,0.25,43.32,DEM,Charlie Crist (DEM),52,12.87,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,798,Majority White,Other,45.9,25.6,26.4,50.8,10.3,32.2,6.8
Last updated at 11-14-2022 20:55,219,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),628,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),736,REP,1374,0.44,45.71,0.29,53.57,REP,Ron DeSantis (REP),108,7.86,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2930,Other,Other,43.1,26.6,28.4,32.1,9.6,49.1,9.2
Last updated at 11-14-2022 20:55,221,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),90,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),102,REP,194,1.03,46.39,0.0,52.58,REP,Ron DeSantis (REP),12,6.19,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,683,Other,Other,37.2,24.9,35.7,32.1,13.0,46.0,8.9
Last updated at 11-14-2022 20:55,223,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),514,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),521,REP,1049,0.95,49.0,0.38,49.67,REP,Ron DeSantis (REP),7,0.67,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2836,Majority Hispanic,Other,42.7,21.4,34.7,27.9,11.5,50.6,10.1
Last updated at 11-14-2022 20:55,225,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),250,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),354,REP,607,0.33,41.19,0.16,58.32,REP,Ron DeSantis (REP),104,17.13,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1450,Majority White,Other,24.6,34.9,36.2,75.6,5.4,10.1,9.0
Last updated at 11-14-2022 20:55,227,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),790,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),758,REP,1562,0.51,50.58,0.38,48.53,DEM,Charlie Crist (DEM),32,2.05,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2816,Majority White,Other,45.9,27.4,24.8,53.1,10.8,29.4,6.6
