LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,CANDIDATE_NAME_5,VOTES_WON_5,CANDIDATE_PARTY_5,CANDIDATE_NAME_6,VOTES_WON_6,CANDIDATE_PARTY_6,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,VOTE_SHARE_5,VOTE_SHARE_6,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_VOTE_SHARE_5,CT_VOTE_SHARE_6,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
Last updated at 02-14-2023 03:16,011,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),422,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),451,DEM,Write-In (OTHER),0,OTHER,883,0.0,47.79,0.68,0.45,51.08,0.0,DEM,Val Demings (DEM),29,3.28,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,23.61,59.46,Patrick Murphy (DEM) won with 59.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Beach Elementary School,2049,Majority Hispanic,Other,40.5,22.4,34.3,4.9,50.7,10.1,Miami Beach
Last updated at 02-14-2023 03:16,013,Dennis Misigoy (LPF),12,LPF,Marco Rubio (REP),470,REP,Steven B. Grant (NPA),9,NPA,Tuan TQ Nguyen (NPA),6,NPA,Val Demings (DEM),524,DEM,Write-In (OTHER),0,OTHER,1021,1.18,46.03,0.88,0.59,51.32,0.0,DEM,Val Demings (DEM),54,5.29,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,24.76,60.68,Patrick Murphy (DEM) won with 60.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Shore Branch Library,2493,Majority Hispanic,Other,38.9,21.2,26.8,5.3,59.5,8.4,Miami Beach
Last updated at 02-14-2023 03:16,014,Dennis Misigoy (LPF),9,LPF,Marco Rubio (REP),562,REP,Steven B. Grant (NPA),17,NPA,Tuan TQ Nguyen (NPA),3,NPA,Val Demings (DEM),717,DEM,Write-In (OTHER),0,OTHER,1308,0.69,42.97,1.3,0.23,54.82,0.0,DEM,Val Demings (DEM),155,11.85,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,30.26,63.24,Patrick Murphy (DEM) won with 63.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Shore Park Youth Center,2799,Majority Hispanic,Other,37.9,20.3,28.9,4.3,58.1,8.7,Miami Beach
Last updated at 02-14-2023 03:16,015,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),238,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),7,NPA,Val Demings (DEM),282,DEM,Write-In (OTHER),2,OTHER,532,0.0,44.74,0.56,1.32,53.01,0.38,DEM,Val Demings (DEM),44,8.27,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,21.25,59.21,Patrick Murphy (DEM) won with 59.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Normandy Shores Golf Club,954,Other,Other,38.1,21.2,49.5,2.4,38.3,9.9,Miami Beach
Last updated at 02-14-2023 03:16,016,Dennis Misigoy (LPF),4,LPF,Marco Rubio (REP),402,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),445,DEM,Write-In (OTHER),0,OTHER,855,0.47,47.02,0.23,0.23,52.05,0.0,DEM,Val Demings (DEM),43,5.03,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,27.31,62.48,Patrick Murphy (DEM) won with 62.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Pelican Harbor Marina,1781,Other,Other,37.5,20.7,37.7,6.3,45.4,10.6,N Bay Village
Last updated at 02-14-2023 03:16,017,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),474,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),658,DEM,Write-In (OTHER),0,OTHER,1143,0.44,41.47,0.35,0.17,57.57,0.0,DEM,Val Demings (DEM),184,16.1,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,36.09,66.76,Patrick Murphy (DEM) won with 66.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Treasure Island Elementary School,2720,Majority Hispanic,Other,40.3,21.2,29.8,6.2,53.5,10.6,N Bay Village
Last updated at 02-14-2023 03:16,018,Dennis Misigoy (LPF),4,LPF,Marco Rubio (REP),405,REP,Steven B. Grant (NPA),5,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),609,DEM,Write-In (OTHER),2,OTHER,1027,0.39,39.44,0.49,0.19,59.3,0.19,DEM,Val Demings (DEM),204,19.86,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,39.36,67.86,Patrick Murphy (DEM) won with 67.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Indian Creek Fire Station #4,2608,Majority Hispanic,Other,43,17.9,27.6,4.6,57.9,9.8,Miami Beach
Last updated at 02-14-2023 03:16,019,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),200,REP,Steven B. Grant (NPA),0,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),215,DEM,Write-In (OTHER),0,OTHER,417,0.48,47.96,0.0,0.0,51.56,0.0,DEM,Val Demings (DEM),15,3.6,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,25.04,61.17,Patrick Murphy (DEM) won with 61.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Normandy Park & Pool,928,Majority Hispanic,Other,40.5,24.4,37.1,3.6,51.4,8,Miami Beach
Last updated at 02-14-2023 03:16,020,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),484,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),3,NPA,Val Demings (DEM),570,DEM,Write-In (OTHER),3,OTHER,1065,0.19,45.45,0.28,0.28,53.52,0.28,DEM,Val Demings (DEM),86,8.08,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,13.18,55.25,Patrick Murphy (DEM) won with 55.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ronald W. Shane Center,2151,Other,Other,36.4,25.6,43.1,2.9,44.5,9.5,Miami Beach
Last updated at 02-14-2023 03:16,023,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),976,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),901,DEM,Write-In (OTHER),0,OTHER,1889,0.26,51.67,0.16,0.21,47.7,0.0,REP,Marco Rubio (REP),75,3.97,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,0.22,48.99,Patrick Murphy (DEM) won with 49% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Fire Station #3,3493,Other,Other,30.7,30.2,46.1,2.3,43.3,8.3,Miami Beach
Last updated at 02-14-2023 03:16,024,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),428,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),607,DEM,Write-In (OTHER),0,OTHER,1038,0.0,41.23,0.19,0.1,58.48,0.0,DEM,Val Demings (DEM),179,17.24,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,18.79,58.67,Patrick Murphy (DEM) won with 58.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Nautilus Middle School,1681,Majority White,Other,41.3,24.9,68.6,1.9,22.1,7.4,Miami Beach
Last updated at 02-14-2023 03:16,025,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),570,REP,Steven B. Grant (NPA),0,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),359,DEM,Write-In (OTHER),1,OTHER,934,0.21,61.03,0.0,0.21,38.44,0.11,REP,Marco Rubio (REP),211,22.59,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,12.49,55.11,Marco Rubio (REP) won with 55.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,St. Johns on the Lake Methodist Church,1794,Majority White,Other,26.6,34.1,53.7,1.1,36.3,8.9,Miami Beach
Last updated at 02-14-2023 03:16,028,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),515,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),355,DEM,Write-In (OTHER),1,OTHER,880,0.11,58.52,0.45,0.45,40.34,0.11,REP,Marco Rubio (REP),160,18.18,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,5.49,51.77,Marco Rubio (REP) won with 51.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Temple Beth Sholom,1704,Majority White,Other,35.5,30.6,68,1.2,19.1,11.8,Miami Beach
Last updated at 02-14-2023 03:16,029,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),545,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),388,DEM,Write-In (OTHER),2,OTHER,938,0.0,58.1,0.32,0.0,41.36,0.21,REP,Marco Rubio (REP),157,16.74,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Marco Rubio (REP),REP,4.93,51.82,Marco Rubio (REP) won with 51.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Beach Elementary School,1719,Majority White,Other,34.4,30.1,64.1,1.7,22.2,12,Miami Beach
Last updated at 02-14-2023 03:16,030,Dennis Misigoy (LPF),7,LPF,Marco Rubio (REP),667,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),1353,DEM,Write-In (OTHER),1,OTHER,2034,0.34,32.79,0.1,0.2,66.52,0.05,DEM,Val Demings (DEM),686,33.73,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,35.49,66.68,Patrick Murphy (DEM) won with 66.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Botanical Garden,3255,Majority White,Other,45.7,19.2,68.2,1.4,20.4,10,Miami Beach
Last updated at 02-14-2023 03:16,031,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),319,REP,Steven B. Grant (NPA),0,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),367,DEM,Write-In (OTHER),1,OTHER,691,0.0,46.16,0.0,0.58,53.11,0.14,DEM,Val Demings (DEM),48,6.95,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,25.79,61.76,Patrick Murphy (DEM) won with 61.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami City Ballet,1299,Majority White,Other,42.2,22.4,62.7,2.8,20.6,13.9,Miami Beach
Last updated at 02-14-2023 03:16,032,Dennis Misigoy (LPF),4,LPF,Marco Rubio (REP),725,REP,Steven B. Grant (NPA),7,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),563,DEM,Write-In (OTHER),0,OTHER,1301,0.31,55.73,0.54,0.15,43.27,0.0,REP,Marco Rubio (REP),162,12.45,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,1.91,49.84,Patrick Murphy (DEM) won with 49.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Regional Library,2675,Other,Other,30.9,27.9,39.7,2.1,47.8,10.5,Miami Beach
Last updated at 02-14-2023 03:16,033,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),314,REP,Steven B. Grant (NPA),5,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),613,DEM,Write-In (OTHER),4,OTHER,941,0.32,33.37,0.53,0.21,65.14,0.43,DEM,Val Demings (DEM),299,31.77,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,37.93,67.39,Patrick Murphy (DEM) won with 67.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Senior High School,1928,Other,Other,44.6,16.7,45.6,3.4,38.4,12.7,Miami Beach
Last updated at 02-14-2023 03:16,036,Dennis Misigoy (LPF),6,LPF,Marco Rubio (REP),542,REP,Steven B. Grant (NPA),8,NPA,Tuan TQ Nguyen (NPA),9,NPA,Val Demings (DEM),1083,DEM,Write-In (OTHER),3,OTHER,1651,0.36,32.83,0.48,0.55,65.6,0.18,DEM,Val Demings (DEM),541,32.77,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,42.57,69.61,Patrick Murphy (DEM) won with 69.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach Police Athletic League,3174,Other,Other,44.7,16.5,49.4,4.2,34.4,12,Miami Beach
Last updated at 02-14-2023 03:16,037,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),209,REP,Steven B. Grant (NPA),1,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),310,DEM,Write-In (OTHER),0,OTHER,522,0.19,40.04,0.19,0.19,59.39,0.0,DEM,Val Demings (DEM),101,19.35,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,29.37,63.14,Patrick Murphy (DEM) won with 63.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Beach City Hall,1197,Majority White,Other,36.7,18.3,60.3,6.5,21.4,11.8,Miami Beach
