LAST_UPDATE_2022,COUNTY,CANDIDATE_NAME_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,CANDIDATE_PARTY_4,VOTES_WON_1,VOTES_WON_2,VOTES_WON_3,VOTES_WON_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,ST_TOTAL_VOTES_TALLIED,ST_VOTE_SHARE_1,ST_VOTE_SHARE_2,ST_VOTE_SHARE_3,ST_VOTE_SHARE_4,ST_LEAD_PARTY,ST_LEAD_CANDIDATE,ST_RAW_MARGIN,ST_MARGIN_PERCENTPOINTS,ST_LEAD_VOTESHARE,ST_SECOND_PARTY,ST_SECOND_CANDIDATE,ST_SECOND_VOTESHARE,FIPS,WINNER_PARTY_18,WINNER_CANDIDATE_18,VOTE_SHARE_WINNER_18,MARGIN_PERCENTPOINTS_18,ST_WINNER_CANDIDATE_18,ST_WINNER_VOTESHARE_18,ST_MARGIN_PERCENTPOINTS_18,ST_WINNER_PARTY_18
Last updated at 11-13-2022 21:21,Collier,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,117409,45776,214,253,163652,71.74,27.97,0.13,0.15,REP,DeSantis/Nuñez (REP),71633,43.77,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12021,REP,Ron DeSantis (REP),64.5,30.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Columbia,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,18787,4785,59,89,23720,79.2,20.17,0.25,0.38,REP,DeSantis/Nuñez (REP),14002,59.03,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12023,REP,Ron DeSantis (REP),70.1,41.5,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Desoto,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,6634,2023,11,30,8698,76.27,23.26,0.13,0.34,REP,DeSantis/Nuñez (REP),4611,53.01,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12027,REP,Ron DeSantis (REP),63.6,29.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Dixie,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,5393,735,14,36,6178,87.29,11.9,0.23,0.58,REP,DeSantis/Nuñez (REP),4658,75.4,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12029,REP,Ron DeSantis (REP),80.4,63.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Duval,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,182334,143594,1090,1817,328835,55.45,43.67,0.33,0.55,REP,DeSantis/Nuñez (REP),38740,11.78,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12031,DEM,Andrew Gillum (DEM),51.7,4.4,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Escambia,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,74549,40030,397,655,115631,64.47,34.62,0.34,0.57,REP,DeSantis/Nuñez (REP),34519,29.85,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12033,REP,Ron DeSantis (REP),57.8,17.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Flagler,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,39133,19151,142,194,58620,66.76,32.67,0.24,0.33,REP,DeSantis/Nuñez (REP),19982,34.09,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12035,REP,Ron DeSantis (REP),58.6,18.5,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Franklin,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,4000,1405,18,15,5438,73.56,25.84,0.33,0.28,REP,DeSantis/Nuñez (REP),2595,47.72,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12037,REP,Ron DeSantis (REP),64.7,31.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Gadsden,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,6494,10784,30,80,17388,37.35,62.02,0.17,0.46,DEM,Crist/Hernandez (DEM),4290,24.67,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12039,DEM,Andrew Gillum (DEM),68.4,37.5,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Gilchrist,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,6799,1015,18,27,7859,86.51,12.92,0.23,0.34,REP,DeSantis/Nuñez (REP),5784,73.6,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12041,REP,Ron DeSantis (REP),81.1,63.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Glades,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,3091,721,4,13,3829,80.73,18.83,0.1,0.34,REP,DeSantis/Nuñez (REP),2370,61.9,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12043,REP,Ron DeSantis (REP),69.1,40.5,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Gulf,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,5146,1247,10,18,6421,80.14,19.42,0.16,0.28,REP,DeSantis/Nuñez (REP),3899,60.72,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12045,REP,Ron DeSantis (REP),72.3,46.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Hamilton,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,3145,1118,11,17,4291,73.29,26.05,0.26,0.4,REP,DeSantis/Nuñez (REP),2027,47.24,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12047,REP,Ron DeSantis (REP),63.9,28.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Hardee,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,4543,939,10,19,5511,82.44,17.04,0.18,0.34,REP,DeSantis/Nuñez (REP),3604,65.4,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12049,REP,Ron DeSantis (REP),70.1,41.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Hendry,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,6126,2048,21,53,8248,74.27,24.83,0.25,0.64,REP,DeSantis/Nuñez (REP),4078,49.44,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12051,REP,Ron DeSantis (REP),58.3,18.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Hernando,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,56200,23674,181,287,80342,69.95,29.47,0.23,0.36,REP,DeSantis/Nuñez (REP),32526,40.48,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12053,REP,Ron DeSantis (REP),61.6,25.1,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Highlands,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,29454,9943,92,220,39709,74.17,25.04,0.23,0.55,REP,DeSantis/Nuñez (REP),19511,49.13,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12055,REP,Ron DeSantis (REP),66.1,33.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Hillsborough,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,261632,217067,1637,2583,482919,54.18,44.95,0.34,0.53,REP,DeSantis/Nuñez (REP),44565,9.23,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12057,DEM,Andrew Gillum (DEM),53.9,9.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Holmes,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,6211,533,24,11,6779,91.62,7.86,0.35,0.16,REP,DeSantis/Nuñez (REP),5678,83.76,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12059,REP,Ron DeSantis (REP),87.7,76.8,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Indian River,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,52231,24719,146,241,77337,67.54,31.96,0.19,0.31,REP,DeSantis/Nuñez (REP),27512,35.57,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12061,REP,Ron DeSantis (REP),60.5,22.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Jackson,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,12221,3709,24,50,16004,76.36,23.18,0.15,0.31,REP,DeSantis/Nuñez (REP),8512,53.19,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12063,REP,Ron DeSantis (REP),67.4,36.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Jefferson,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,4310,2776,14,27,7127,60.47,38.95,0.2,0.38,REP,DeSantis/Nuñez (REP),1534,21.52,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12065,REP,Ron DeSantis (REP),52.7,6.8,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Lafayette,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,2615,294,4,3,2916,89.68,10.08,0.14,0.1,REP,DeSantis/Nuñez (REP),2321,79.6,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12067,REP,Ron DeSantis (REP),83.7,68.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Lake,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,106484,52471,367,636,159958,66.57,32.8,0.23,0.4,REP,DeSantis/Nuñez (REP),54013,33.77,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12069,REP,Ron DeSantis (REP),59.7,20.8,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Lee,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,189261,84697,457,707,275122,68.79,30.79,0.17,0.26,REP,DeSantis/Nuñez (REP),104564,38.01,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12071,REP,Ron DeSantis (REP),60.1,21.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Leon,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,49202,67437,343,626,117608,41.84,57.34,0.29,0.53,DEM,Crist/Hernandez (DEM),18235,15.5,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12073,DEM,Andrew Gillum (DEM),63.4,27.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Levy,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,14043,3756,40,67,17906,78.43,20.98,0.22,0.37,REP,DeSantis/Nuñez (REP),10287,57.45,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12075,REP,Ron DeSantis (REP),70.7,43.1,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Liberty,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,2233,370,5,7,2615,85.39,14.15,0.19,0.27,REP,DeSantis/Nuñez (REP),1863,71.24,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12077,REP,Ron DeSantis (REP),76.8,57.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Madison,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,4654,2292,11,16,6973,66.74,32.87,0.16,0.23,REP,DeSantis/Nuñez (REP),2362,33.87,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12079,REP,Ron DeSantis (REP),57.0,14.6,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Manatee,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,110862,59613,352,465,171292,64.72,34.8,0.21,0.27,REP,DeSantis/Nuñez (REP),51249,29.92,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12081,REP,Ron DeSantis (REP),57.1,15.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Marion,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,107945,47071,357,535,155908,69.24,30.19,0.23,0.34,REP,DeSantis/Nuñez (REP),60874,39.04,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12083,REP,Ron DeSantis (REP),61.3,24.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Martin,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,53575,23735,140,183,77633,69.01,30.57,0.18,0.24,REP,DeSantis/Nuñez (REP),29840,38.44,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12085,REP,Ron DeSantis (REP),61.5,24.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Miami-Dade,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,393405,312762,1721,3621,711509,55.29,43.96,0.24,0.51,REP,DeSantis/Nuñez (REP),80643,11.33,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12086,DEM,Andrew Gillum (DEM),59.9,20.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Monroe,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,20475,13298,85,125,33983,60.25,39.13,0.25,0.37,REP,DeSantis/Nuñez (REP),7177,21.12,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12087,REP,Ron DeSantis (REP),51.2,3.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Nassau,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,36509,10956,115,125,47705,76.53,22.97,0.24,0.26,REP,DeSantis/Nuñez (REP),25553,53.56,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12089,REP,Ron DeSantis (REP),72.8,46.5,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Okaloosa,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,61654,18533,347,372,80906,76.2,22.91,0.43,0.46,REP,DeSantis/Nuñez (REP),43121,53.3,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12091,REP,Ron DeSantis (REP),71.5,44.8,Ron DeSantis (REP),49.6,0.4,REP
