LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
Last updated at 02-13-2023 22:46,011,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),436,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),439,REP,880,0.45,49.55,0.11,49.89,REP,Ron DeSantis (REP),3,0.34,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,27.36,62.9,Andrew Gillum (DEM) won with 62.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Biscayne Beach Elementary School,2049,Majority Hispanic,Other,40.5,22.4,34.3,4.9,50.7,10.1,Miami Beach
Last updated at 02-13-2023 22:46,013,Carmen Jackie Gimenez (NPA),15,NPA,Charlie Crist (DEM),517,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),484,REP,1020,1.47,50.69,0.39,47.45,DEM,Charlie Crist (DEM),33,3.24,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,38.22,68.1,Andrew Gillum (DEM) won with 68.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Shore Branch Library,2493,Majority Hispanic,Other,38.9,21.2,26.8,5.3,59.5,8.4,Miami Beach
Last updated at 02-13-2023 22:46,014,Carmen Jackie Gimenez (NPA),22,NPA,Charlie Crist (DEM),698,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),587,REP,1312,1.68,53.2,0.38,44.74,DEM,Charlie Crist (DEM),111,8.46,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,36.21,67.5,Andrew Gillum (DEM) won with 67.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Shore Park Youth Center,2799,Majority Hispanic,Other,37.9,20.3,28.9,4.3,58.1,8.7,Miami Beach
Last updated at 02-13-2023 22:46,015,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),279,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),249,REP,531,0.19,52.54,0.38,46.89,DEM,Charlie Crist (DEM),30,5.65,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,25.61,62.0,Andrew Gillum (DEM) won with 62% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Normandy Shores Golf Club,954,Other,Other,38.1,21.2,49.5,2.4,38.3,9.9,Miami Beach
Last updated at 02-13-2023 22:46,016,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),436,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),418,REP,857,0.12,50.88,0.23,48.77,DEM,Charlie Crist (DEM),18,2.1,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,38.72,69.2,Andrew Gillum (DEM) won with 69.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Pelican Harbor Marina,1781,Other,Other,37.5,20.7,37.7,6.3,45.4,10.6,N Bay Village
Last updated at 02-13-2023 22:46,017,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),628,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),509,REP,1145,0.52,54.85,0.17,44.45,DEM,Charlie Crist (DEM),119,10.39,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,46.37,72.6,Andrew Gillum (DEM) won with 72.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Treasure Island Elementary School,2720,Majority Hispanic,Other,40.3,21.2,29.8,6.2,53.5,10.6,N Bay Village
Last updated at 02-13-2023 22:46,018,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),599,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),421,REP,1031,0.97,58.1,0.1,40.83,DEM,Charlie Crist (DEM),178,17.26,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,52.96,75.6,Andrew Gillum (DEM) won with 75.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Indian Creek Fire Station #4,2608,Majority Hispanic,Other,43,17.9,27.6,4.6,57.9,9.8,Miami Beach
Last updated at 02-13-2023 22:46,019,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),212,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),202,REP,415,0.24,51.08,0.0,48.67,DEM,Charlie Crist (DEM),10,2.41,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,26.87,63.3,Andrew Gillum (DEM) won with 63.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Normandy Park & Pool,928,Majority Hispanic,Other,40.5,24.4,37.1,3.6,51.4,8,Miami Beach
Last updated at 02-13-2023 22:46,020,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),571,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),491,REP,1067,0.28,53.51,0.19,46.02,DEM,Charlie Crist (DEM),80,7.5,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,27.93,63.2,Andrew Gillum (DEM) won with 63.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ronald W. Shane Center,2151,Other,Other,36.4,25.6,43.1,2.9,44.5,9.5,Miami Beach
Last updated at 02-13-2023 22:46,023,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),885,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),997,REP,1890,0.16,46.83,0.26,52.75,REP,Ron DeSantis (REP),112,5.93,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,7.21,53.0,Andrew Gillum (DEM) won with 53% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Fire Station #3,3493,Other,Other,30.7,30.2,46.1,2.3,43.3,8.3,Miami Beach
Last updated at 02-13-2023 22:46,024,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),581,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),451,REP,1036,0.29,56.08,0.1,43.53,DEM,Charlie Crist (DEM),130,12.55,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,27.48,63.6,Andrew Gillum (DEM) won with 63.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Nautilus Middle School,1681,Majority White,Other,41.3,24.9,68.6,1.9,22.1,7.4,Miami Beach
Last updated at 02-13-2023 22:46,025,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),341,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),596,REP,940,0.0,36.28,0.32,63.4,REP,Ron DeSantis (REP),255,27.13,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,6.57,52.8,Ron DeSantis (REP) won with 52.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,St. Johns on the Lake Methodist Church,1794,Majority White,Other,26.6,34.1,53.7,1.1,36.3,8.9,Miami Beach
Last updated at 02-13-2023 22:46,028,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),353,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),555,REP,909,0.11,38.83,0.0,61.06,REP,Ron DeSantis (REP),202,22.22,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,1.65,50.3,Ron DeSantis (REP) won with 50.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Temple Beth Sholom,1704,Majority White,Other,35.5,30.6,68,1.2,19.1,11.8,Miami Beach
Last updated at 02-13-2023 22:46,029,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),366,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),589,REP,960,0.31,38.12,0.21,61.35,REP,Ron DeSantis (REP),223,23.23,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Ron DeSantis (REP),REP,2.61,50.9,Ron DeSantis (REP) won with 50.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Beach Elementary School,1719,Majority White,Other,34.4,30.1,64.1,1.7,22.2,12,Miami Beach
Last updated at 02-13-2023 22:46,030,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),1329,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),703,REP,2040,0.25,65.15,0.15,34.46,DEM,Charlie Crist (DEM),626,30.69,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,43.59,71.4,Andrew Gillum (DEM) won with 71.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Botanical Garden,3255,Majority White,Other,45.7,19.2,68.2,1.4,20.4,10,Miami Beach
Last updated at 02-13-2023 22:46,031,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),368,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),324,REP,698,0.43,52.72,0.43,46.42,DEM,Charlie Crist (DEM),44,6.3,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,30.39,64.8,Andrew Gillum (DEM) won with 64.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami City Ballet,1299,Majority White,Other,42.2,22.4,62.7,2.8,20.6,13.9,Miami Beach
Last updated at 02-13-2023 22:46,032,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),541,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),751,REP,1302,0.54,41.55,0.23,57.68,REP,Ron DeSantis (REP),210,16.13,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,7.1,52.8,Andrew Gillum (DEM) won with 52.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Regional Library,2675,Other,Other,30.9,27.9,39.7,2.1,47.8,10.5,Miami Beach
Last updated at 02-13-2023 22:46,033,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),603,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),332,REP,945,0.32,63.81,0.74,35.13,DEM,Charlie Crist (DEM),271,28.68,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,46.72,73.1,Andrew Gillum (DEM) won with 73.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Senior High School,1928,Other,Other,44.6,16.7,45.6,3.4,38.4,12.7,Miami Beach
Last updated at 02-13-2023 22:46,036,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),1065,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),569,REP,1648,0.55,64.62,0.3,34.53,DEM,Charlie Crist (DEM),496,30.1,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,48.04,73.5,Andrew Gillum (DEM) won with 73.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Police Athletic League,3174,Other,Other,44.7,16.5,49.4,4.2,34.4,12,Miami Beach
Last updated at 02-13-2023 22:46,037,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),301,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),218,REP,522,0.57,57.66,0.0,41.76,DEM,Charlie Crist (DEM),83,15.9,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,50.86,74.7,Andrew Gillum (DEM) won with 74.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach City Hall,1197,Majority White,Other,36.7,18.3,60.3,6.5,21.4,11.8,Miami Beach
Last updated at 02-13-2023 22:46,038,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),102,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),129,REP,231,0.0,44.16,0.0,55.84,REP,Ron DeSantis (REP),27,11.69,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,7.17,53.6,Andrew Gillum (DEM) won with 53.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Shore Community Center,405,Majority White,Other,31.9,28.9,60.2,1.7,26.4,11.6,Miami Beach
Last updated at 02-13-2023 22:46,040,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),520,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),403,REP,933,0.43,55.73,0.64,43.19,DEM,Charlie Crist (DEM),117,12.54,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,33.66,66.4,Andrew Gillum (DEM) won with 66.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Pointe Elementary School,1997,Other,Other,39,19.6,45.8,4.1,38.4,11.7,Miami Beach
Last updated at 02-13-2023 22:46,041,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),1058,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),640,REP,1720,0.7,61.51,0.58,37.21,DEM,Charlie Crist (DEM),418,24.3,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,49.9,74.3,Andrew Gillum (DEM) won with 74.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Shore Community Center,3824,Other,Other,42.5,18.2,43.9,5.3,39,11.8,Miami Beach
Last updated at 02-13-2023 22:46,042,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),572,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),372,REP,949,0.42,60.27,0.11,39.2,DEM,Charlie Crist (DEM),200,21.07,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,44.82,71.8,Andrew Gillum (DEM) won with 71.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Fienberg Fisher K-8 Center,2198,Other,Other,41.8,18,44.7,5.4,36.8,13.1,Miami Beach
