LAST_UPDATE_2022,COUNTY,CANDIDATE_NAME_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,CANDIDATE_PARTY_4,CANDIDATE_NAME_5,CANDIDATE_PARTY_5,CANDIDATE_NAME_6,CANDIDATE_PARTY_6,CANDIDATE_NAME_7,CANDIDATE_PARTY_7,CANDIDATE_NAME_8,CANDIDATE_PARTY_8,CANDIDATE_NAME_9,CANDIDATE_PARTY_9,VOTES_WON_1,VOTES_WON_2,VOTES_WON_3,VOTES_WON_4,VOTES_WON_5,VOTES_WON_6,VOTES_WON_7,VOTES_WON_8,VOTES_WON_9,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,VOTE_SHARE_5,VOTE_SHARE_6,VOTE_SHARE_7,VOTE_SHARE_8,VOTE_SHARE_9,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,ST_TOTAL_VOTES_TALLIED,ST_VOTE_SHARE_1,ST_VOTE_SHARE_2,ST_VOTE_SHARE_3,ST_VOTE_SHARE_4,ST_VOTE_SHARE_5,ST_VOTE_SHARE_6,ST_VOTE_SHARE_7,ST_VOTE_SHARE_8,ST_VOTE_SHARE_9,ST_LEAD_PARTY,ST_LEAD_CANDIDATE,ST_RAW_MARGIN,ST_MARGIN_PERCENTPOINTS,ST_LEAD_VOTESHARE,ST_SECOND_PARTY,ST_SECOND_CANDIDATE,ST_SECOND_VOTESHARE,FIPS,WINNER_PARTY_16,WINNER_CANDIDATE_16,VOTE_SHARE_WINNER_16,MARGIN_PERCENTPOINTS_16,ST_WINNER_CANDIDATE_16,ST_WINNER_VOTESHARE_16,ST_MARGIN_PERCENTPOINTS_16,ST_WINNER_PARTY_16
Last updated at 11-13-2022 20:09,Collier,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,115983,46497,386,340,171,0,0,0,0,163377,70.99,28.46,0.24,0.21,0.1,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),69486,42.53,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12021,REP,Marco Rubio (REP),68.3,39.1,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Columbia,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,18342,5066,93,103,45,0,0,0,0,23649,77.56,21.42,0.39,0.44,0.19,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),13276,56.14,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12023,REP,Marco Rubio (REP),70.4,44.4,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Desoto,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,6466,2097,27,51,15,0,0,0,0,8656,74.7,24.23,0.31,0.59,0.17,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),4369,50.47,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12027,REP,Marco Rubio (REP),64.3,32.8,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Dixie,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,5224,826,21,52,10,0,0,0,0,6133,85.18,13.47,0.34,0.85,0.16,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),4398,71.71,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12029,REP,Marco Rubio (REP),72.2,49.5,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Duval,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,177181,147380,1560,1267,953,0,0,0,0,328341,53.96,44.89,0.48,0.39,0.29,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),29801,9.08,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12031,REP,Marco Rubio (REP),56.3,16.2,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Escambia,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,73166,40741,596,459,419,0,0,0,0,115381,63.41,35.31,0.52,0.4,0.36,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),32425,28.1,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12033,REP,Marco Rubio (REP),62.2,28.3,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Flagler,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,37885,20177,204,191,86,0,0,0,0,58543,64.71,34.47,0.35,0.33,0.15,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),17708,30.25,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12035,REP,Marco Rubio (REP),58.1,20.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Franklin,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,3882,1470,23,29,10,0,0,0,0,5414,71.7,27.15,0.42,0.54,0.18,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),2412,44.55,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12037,REP,Marco Rubio (REP),65.4,34.5,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Gadsden,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,6072,11090,63,99,23,0,0,0,0,17347,35.0,63.93,0.36,0.57,0.13,0.0,0.0,0.0,0.0,DEM,Val Demings (DEM),5018,28.93,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12039,DEM,Patrick Murphy (DEM),66.4,35.0,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Gilchrist,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,6651,1084,40,47,14,0,0,0,0,7836,84.88,13.83,0.51,0.6,0.18,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),5567,71.04,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12041,REP,Marco Rubio (REP),75.7,55.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Glades,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,3026,764,10,16,2,0,0,0,0,3818,79.26,20.01,0.26,0.42,0.05,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),2262,59.25,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12043,REP,Marco Rubio (REP),68.1,40.3,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Gulf,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,5065,1295,19,24,12,0,0,0,0,6415,78.96,20.19,0.3,0.37,0.19,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),3770,58.77,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12045,REP,Marco Rubio (REP),72.0,47.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hamilton,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,3030,1213,18,15,4,0,0,0,0,4280,70.79,28.34,0.42,0.35,0.09,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1817,42.45,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12047,REP,Marco Rubio (REP),56.9,17.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hardee,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,4465,971,23,30,8,0,0,0,0,5497,81.23,17.66,0.42,0.55,0.15,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),3494,63.56,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12049,REP,Marco Rubio (REP),68.7,41.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hendry,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,6000,2116,36,54,14,0,0,0,0,8220,72.99,25.74,0.44,0.66,0.17,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),3884,47.25,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12051,REP,Marco Rubio (REP),61.2,25.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hernando,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,54776,24271,352,462,213,0,0,0,0,80074,68.41,30.31,0.44,0.58,0.27,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),30505,38.1,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12053,REP,Marco Rubio (REP),58.2,22.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Highlands,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,28715,10428,146,266,61,0,0,0,0,39616,72.48,26.32,0.37,0.67,0.15,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),18287,46.16,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12055,REP,Marco Rubio (REP),62.5,30.3,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hillsborough,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,253195,222090,2492,2342,1616,0,0,0,0,481735,52.56,46.1,0.52,0.49,0.34,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),31105,6.46,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12057,REP,Marco Rubio (REP),48.1,0.5,Marco Rubio (REP),52,7.7,REP
