BASE_PRECINCT,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
11,Andrew Gillum (DEM),DEM,27.36,62.9,Andrew Gillum (DEM) won with 62.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Biscayne Beach Elementary School,2049,Majority Hispanic,Other,40.5,22.4,34.3,4.9,50.7,10.1,Miami Beach
13,Andrew Gillum (DEM),DEM,38.22,68.1,Andrew Gillum (DEM) won with 68.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Shore Branch Library,2493,Majority Hispanic,Other,38.9,21.2,26.8,5.3,59.5,8.4,Miami Beach
14,Andrew Gillum (DEM),DEM,36.21,67.5,Andrew Gillum (DEM) won with 67.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Shore Park Youth Center,2799,Majority Hispanic,Other,37.9,20.3,28.9,4.3,58.1,8.7,Miami Beach
15,Andrew Gillum (DEM),DEM,25.61,62.0,Andrew Gillum (DEM) won with 62% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Normandy Shores Golf Club,954,Other,Other,38.1,21.2,49.5,2.4,38.3,9.9,Miami Beach
16,Andrew Gillum (DEM),DEM,38.72,69.2,Andrew Gillum (DEM) won with 69.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Pelican Harbor Marina,1781,Other,Other,37.5,20.7,37.7,6.3,45.4,10.6,N Bay Village
17,Andrew Gillum (DEM),DEM,46.37,72.6,Andrew Gillum (DEM) won with 72.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Treasure Island Elementary School,2720,Majority Hispanic,Other,40.3,21.2,29.8,6.2,53.5,10.6,N Bay Village
18,Andrew Gillum (DEM),DEM,52.96,75.6,Andrew Gillum (DEM) won with 75.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Indian Creek Fire Station #4,2608,Majority Hispanic,Other,43,17.9,27.6,4.6,57.9,9.8,Miami Beach
19,Andrew Gillum (DEM),DEM,26.87,63.3,Andrew Gillum (DEM) won with 63.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Normandy Park & Pool,928,Majority Hispanic,Other,40.5,24.4,37.1,3.6,51.4,8,Miami Beach
20,Andrew Gillum (DEM),DEM,27.93,63.2,Andrew Gillum (DEM) won with 63.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ronald W. Shane Center,2151,Other,Other,36.4,25.6,43.1,2.9,44.5,9.5,Miami Beach
23,Andrew Gillum (DEM),DEM,7.21,53.0,Andrew Gillum (DEM) won with 53% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Fire Station #3,3493,Other,Other,30.7,30.2,46.1,2.3,43.3,8.3,Miami Beach
24,Andrew Gillum (DEM),DEM,27.48,63.6,Andrew Gillum (DEM) won with 63.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Nautilus Middle School,1681,Majority White,Other,41.3,24.9,68.6,1.9,22.1,7.4,Miami Beach
25,Ron DeSantis (REP),REP,6.57,52.8,Ron DeSantis (REP) won with 52.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,St. Johns on the Lake Methodist Church,1794,Majority White,Other,26.6,34.1,53.7,1.1,36.3,8.9,Miami Beach
28,Ron DeSantis (REP),REP,1.65,50.3,Ron DeSantis (REP) won with 50.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Temple Beth Sholom,1704,Majority White,Other,35.5,30.6,68,1.2,19.1,11.8,Miami Beach
29,Ron DeSantis (REP),REP,2.61,50.9,Ron DeSantis (REP) won with 50.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Beach Elementary School,1719,Majority White,Other,34.4,30.1,64.1,1.7,22.2,12,Miami Beach
30,Andrew Gillum (DEM),DEM,43.59,71.4,Andrew Gillum (DEM) won with 71.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Botanical Garden,3255,Majority White,Other,45.7,19.2,68.2,1.4,20.4,10,Miami Beach
31,Andrew Gillum (DEM),DEM,30.39,64.8,Andrew Gillum (DEM) won with 64.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami City Ballet,1299,Majority White,Other,42.2,22.4,62.7,2.8,20.6,13.9,Miami Beach
32,Andrew Gillum (DEM),DEM,7.10,52.8,Andrew Gillum (DEM) won with 52.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Regional Library,2675,Other,Other,30.9,27.9,39.7,2.1,47.8,10.5,Miami Beach
33,Andrew Gillum (DEM),DEM,46.72,73.1,Andrew Gillum (DEM) won with 73.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Senior High School,1928,Other,Other,44.6,16.7,45.6,3.4,38.4,12.7,Miami Beach
36,Andrew Gillum (DEM),DEM,48.04,73.5,Andrew Gillum (DEM) won with 73.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Police Athletic League,3174,Other,Other,44.7,16.5,49.4,4.2,34.4,12,Miami Beach
37,Andrew Gillum (DEM),DEM,50.86,74.7,Andrew Gillum (DEM) won with 74.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach City Hall,1197,Majority White,Other,36.7,18.3,60.3,6.5,21.4,11.8,Miami Beach
38,Andrew Gillum (DEM),DEM,7.17,53.6,Andrew Gillum (DEM) won with 53.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Shore Community Center,405,Majority White,Other,31.9,28.9,60.2,1.7,26.4,11.6,Miami Beach
40,Andrew Gillum (DEM),DEM,33.66,66.4,Andrew Gillum (DEM) won with 66.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Pointe Elementary School,1997,Other,Other,39,19.6,45.8,4.1,38.4,11.7,Miami Beach
41,Andrew Gillum (DEM),DEM,49.90,74.3,Andrew Gillum (DEM) won with 74.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Shore Community Center,3824,Other,Other,42.5,18.2,43.9,5.3,39,11.8,Miami Beach
42,Andrew Gillum (DEM),DEM,44.82,71.8,Andrew Gillum (DEM) won with 71.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Fienberg Fisher K-8 Center,2198,Other,Other,41.8,18,44.7,5.4,36.8,13.1,Miami Beach
43,Andrew Gillum (DEM),DEM,42.58,70.5,Andrew Gillum (DEM) won with 70.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Beach Police Department,1079,Other,Other,43.2,18.8,37.5,7.2,44,11.2,Miami Beach
47,Ron DeSantis (REP),REP,25.21,61.8,Ron DeSantis (REP) won with 61.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Pointe Elementary School,430,Majority White,Other,25.6,31.6,78.6,0.7,10.9,9.8,Unincorporated M-D
48,Andrew Gillum (DEM),DEM,12.71,55.7,Andrew Gillum (DEM) won with 55.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South Pointe Elementary School,3323,Majority White,Other,31,28.6,61.1,2.3,26.4,10.2,Miami Beach
51,Andrew Gillum (DEM),DEM,6.18,52.7,Andrew Gillum (DEM) won with 52.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Key Biscayne Community Center,8209,Majority Hispanic,Other,26.5,29.6,35.8,0.4,55.5,8.3,Key Biscayne
52,Andrew Gillum (DEM),DEM,73.33,86.7,Andrew Gillum (DEM) won with 86.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Key Biscayne Community Center,15,Majority Hispanic,Heavily Democrat,60,0,40,0,53.3,6.7,Unincorporated M-D
59,N/A,N/A,0.00,0.0,No votes were cast in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,N/A,N/A,0.00,0.0,No votes were cast in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67,Ron DeSantis (REP),REP,14.39,56.7,Ron DeSantis (REP) won with 56.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sunny Isles Beach Government Center,2006,Majority White,Other,21.1,35.6,58,3.3,28.4,10.2,Sunny Isles Beach
68,N/A,N/A,0.00,0.0,No votes were cast in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Arlen House Condo West,2,Majority White,Other,0,0,100,0,0,0,Unincorporated M-D
69,Andrew Gillum (DEM),DEM,71.66,85.6,Andrew Gillum (DEM) won with 85.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Phyllis R. Miller Elementary School,657,Other,Heavily Democrat,52.5,11.6,28.9,18.7,42.5,9.9,Unincorporated M-D
99,Ron DeSantis (REP),REP,5.97,52.9,Ron DeSantis (REP) won with 52.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Williams Island Club House,1874,Majority White,Other,30.5,32.7,74.6,2.1,16.6,6.7,Aventura
100,Andrew Gillum (DEM),DEM,59.62,79.4,Andrew Gillum (DEM) won with 79.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,134 BLDG--UOCAVA--FED ONLY,8433,Other,Heavily Democrat,50.3,18.6,40,5.3,29.2,25.6,N/A
101,Andrew Gillum (DEM),DEM,17.05,58.0,Andrew Gillum (DEM) won with 58% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Virginia A. Boone Highland Oaks Elementary School,2488,Majority White,Other,40.1,22.9,57.4,3.9,28.7,10.1,Unincorporated M-D
102,Andrew Gillum (DEM),DEM,9.41,54.3,Andrew Gillum (DEM) won with 54.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Aventura Community Recreation Center,4322,Majority White,Other,31.5,25.5,57.3,1.8,30.3,10.7,Aventura
103,Andrew Gillum (DEM),DEM,28.85,64.1,Andrew Gillum (DEM) won with 64.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Aventura Government Center,3439,Majority White,Other,35.4,22.3,50.8,3,36.1,10.1,Aventura
104,Andrew Gillum (DEM),DEM,65.08,82.5,Andrew Gillum (DEM) won with 82.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ojus Elementary School,358,Other,Other,40.2,16.2,31,19.6,39.4,10.1,Unincorporated M-D
105,Andrew Gillum (DEM),DEM,22.10,60.6,Andrew Gillum (DEM) won with 60.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Highland Oaks Middle School,1645,Majority White,Other,39.1,19.3,52,3.5,32.9,11.6,Unincorporated M-D
106,Andrew Gillum (DEM),DEM,32.59,65.4,Andrew Gillum (DEM) won with 65.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Greynolds Park Elementary School,1565,Majority Hispanic,Other,38.9,19.9,27.4,7.8,52.8,12,Unincorporated M-D
107,Andrew Gillum (DEM),DEM,36.21,67.3,Andrew Gillum (DEM) won with 67.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Greynolds Park Elementary School,1064,Majority Hispanic,Other,43,18.9,27.6,8.5,51.5,12.4,Unincorporated M-D
108,Andrew Gillum (DEM),DEM,46.81,72.3,Andrew Gillum (DEM) won with 72.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,New Horizons Condominium Association,2515,Majority Hispanic,Other,44.7,17.5,25.5,12.8,53.2,8.5,Unincorporated M-D
109,Andrew Gillum (DEM),DEM,26.80,63.1,Andrew Gillum (DEM) won with 63.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Aventura Government Center,2750,Other,Other,31.5,22.5,46.5,4.4,38.8,10.4,Aventura
110,Andrew Gillum (DEM),DEM,36.07,67.5,Andrew Gillum (DEM) won with 67.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ojus Elementary School,1715,Other,Other,43.1,19.2,44.4,9.7,34.8,11.1,Unincorporated M-D
111,Andrew Gillum (DEM),DEM,32.33,65.5,Andrew Gillum (DEM) won with 65.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Commodore Plaza Tower II,3686,Other,Other,37.1,21.9,49.3,5,35.5,10.2,Aventura
112,Andrew Gillum (DEM),DEM,38.10,68.4,Andrew Gillum (DEM) won with 68.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Plaza Del Prado Condominium,536,Other,Other,39,20.1,45.3,6.3,37.5,10.8,Aventura
113,Andrew Gillum (DEM),DEM,23.26,60.9,Andrew Gillum (DEM) won with 60.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Point East Condominium,1177,Majority Hispanic,Other,43.7,24,36.4,4.2,52.6,6.7,Aventura
114,Andrew Gillum (DEM),DEM,2.84,51.1,Andrew Gillum (DEM) won with 51.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Northeast Dade Aventura Branch Library,2355,Majority White,Other,31.5,29.3,65.1,2.4,22.5,10,Aventura
115,Andrew Gillum (DEM),DEM,54.38,76.4,Andrew Gillum (DEM) won with 76.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Marjorie/William McDonald Center,3401,Majority Hispanic,Other,47.6,16.3,15.4,18.2,54.9,11.4,N Miami Beach
116,Ron DeSantis (REP),REP,9.32,54.4,Ron DeSantis (REP) won with 54.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Uleta Community Center,986,Majority White,Other,34.4,29.1,55.2,15.8,13.9,15.1,N Miami Beach
117,Andrew Gillum (DEM),DEM,81.64,90.4,Andrew Gillum (DEM) won with 90.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Uleta Community Center,2564,Majority Black,Heavily Democrat,64.1,8.2,6,62.7,22,9.2,N Miami Beach
118,Andrew Gillum (DEM),DEM,41.47,70.3,Andrew Gillum (DEM) won with 70.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,John F. Kennedy Middle School,1203,Other,Heavily Democrat,51.9,18,26.2,38.7,20.9,14.1,N Miami Beach
119,Andrew Gillum (DEM),DEM,13.52,56.7,Andrew Gillum (DEM) won with 56.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Gertrude K. Edelman/Sabal Palm Elementary School,2198,Other,Other,45.4,25.2,43.8,28.8,14,13.4,Unincorporated M-D
120,Andrew Gillum (DEM),DEM,5.06,51.9,Andrew Gillum (DEM) won with 51.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Miami Beach Senior High School,745,Other,Other,37.6,33,48.9,11.9,30.2,9,Unincorporated M-D
121,Andrew Gillum (DEM),DEM,60.80,79.7,Andrew Gillum (DEM) won with 79.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Fulford United Methodist Church,1302,Other,Other,48.5,14,14.8,32.3,41.2,11.6,N Miami Beach
122,Andrew Gillum (DEM),DEM,50.00,75.0,Andrew Gillum (DEM) won with 75% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Allen Park Community Center,8,Majority Black,Heavily Democrat,62.5,37.5,12.5,62.5,12.5,12.5,N Miami Beach
123,Andrew Gillum (DEM),DEM,59.55,79.2,Andrew Gillum (DEM) won with 79.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Marjorie/William McDonald Center,3901,Other,Heavily Democrat,52.5,13.7,21.1,30.9,37.3,10.6,N Miami Beach
124,Andrew Gillum (DEM),DEM,11.86,55.4,Andrew Gillum (DEM) won with 55.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Eden Isles Condominium,3943,Other,Other,31.5,27.1,43.9,3.3,42.4,10.4,N Miami Beach
125,Andrew Gillum (DEM),DEM,41.16,69.0,Andrew Gillum (DEM) won with 69% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Highland Village Community Center,549,Majority Hispanic,Other,48.1,15.1,22.6,15.7,51.5,10.2,N Miami Beach
126,Andrew Gillum (DEM),DEM,84.21,91.8,Andrew Gillum (DEM) won with 91.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Allen Park Community Center,1923,Majority Black,Heavily Democrat,65.5,7.7,6.5,62.9,20.7,9.9,N Miami Beach
127,Andrew Gillum (DEM),DEM,84.90,92.2,Andrew Gillum (DEM) won with 92.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Washington Park Community Center,3498,Majority Black,Heavily Democrat,67.4,7.3,5,68,17.4,9.7,N Miami Beach
128,Andrew Gillum (DEM),DEM,83.96,91.8,Andrew Gillum (DEM) won with 91.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Oak Grove Park,2484,Majority Black,Heavily Democrat,65.6,7.4,4.9,67.7,17,10.4,Unincorporated M-D
129,Andrew Gillum (DEM),DEM,85.03,92.3,Andrew Gillum (DEM) won with 92.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Miami Beach Church Nazarene,2816,Majority Black,Heavily Democrat,65.8,6.8,5.4,66.5,18.3,9.8,Unincorporated M-D
130,Andrew Gillum (DEM),DEM,81.73,90.4,Andrew Gillum (DEM) won with 90.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,First Baptist Church of Greater Miami,3810,Majority Black,Heavily Democrat,65.5,8.1,9.8,63.8,17,9.5,Unincorporated M-D
131,Andrew Gillum (DEM),DEM,74.16,86.8,Andrew Gillum (DEM) won with 86.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Thomas Jefferson Middle School,2726,Other,Heavily Democrat,61.3,10.7,12.1,49.3,27.8,10.7,Unincorporated M-D
133,Andrew Gillum (DEM),DEM,76.78,88.0,Andrew Gillum (DEM) won with 88% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami-Dade County Fire Station #19,1673,Majority Black,Heavily Democrat,63.2,9.5,4.6,59.4,29.6,6.3,North Miami
134,Andrew Gillum (DEM),DEM,88.27,93.9,Andrew Gillum (DEM) won with 93.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Miami Church of the Nazarene,2140,Majority Black,Heavily Democrat,71.7,6.2,2.5,73.2,17.6,6.7,North Miami
135,Andrew Gillum (DEM),DEM,85.36,92.5,Andrew Gillum (DEM) won with 92.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sunkist Grove Community Center,2657,Majority Black,Heavily Democrat,69.1,8.1,1.9,66.2,24.7,7.2,North Miami
136,Andrew Gillum (DEM),DEM,82.93,91.1,Andrew Gillum (DEM) won with 91.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Union Academy,2922,Majority Black,Heavily Democrat,68.4,7.2,5.6,63.2,23.6,7.5,North Miami
137,Andrew Gillum (DEM),DEM,82.50,90.8,Andrew Gillum (DEM) won with 90.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Griffing Senior Citizens Center,398,Majority Black,Heavily Democrat,60.3,10.6,11.1,58.8,20.6,9.5,North Miami
138,Andrew Gillum (DEM),DEM,87.17,93.2,Andrew Gillum (DEM) won with 93.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Miami Elementary School,1965,Majority Black,Heavily Democrat,66.6,6.1,4.6,72.1,14,9.3,North Miami
